Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Tata ALTROZ,Tata,Mumbai,2020,47992,Petrol,Manual,1,0,1199,86,5.0,654000
Hyundai Elite i20,Hyundai,Mumbai,2016,62117,Petrol,Manual,3,0,1197,83,5.0,481000
Volkswagen Vento,Volkswagen,Mumbai,2020,89509,Petrol,Automatic,1,0,999,110,5.0,860000
Maruti New Wagon-R,Maruti,Mumbai,2019,66684,CNG,Manual,2,0,998,58,5.0,481000
Maruti Baleno,Maruti,Mumbai,2017,77650,Petrol,Automatic,1,0,1197,84,5.0,521000
Renault Kwid,Renault,Mumbai,2022,4744,Petrol,Manual,1,0,999,68,5.0,430000
Volkswagen Ameo,Volkswagen,Mumbai,2016,10117,Petrol,Manual,2,0,1198,75,5.0,443000
Hyundai i10,Hyundai,Mumbai,2011,79326,Petrol,Manual,2,0,1086,69,5.0,194000
Honda WR-V,Honda,Mumbai,2018,45344,Petrol,Manual,1,0,1199,90,5.0,607000
Maruti Celerio,Maruti,Mumbai,2018,74536,CNG,Manual,1,0,998,59,5.0,395000
Toyota Etios Liva,Toyota,Mumbai,2011,77595,Petrol,Manual,1,0,1197,80,5.0,237000
Maruti Celerio,Maruti,Mumbai,2021,23012,Petrol,Manual,1,0,998,68,5.0,502000
Maruti BREZZA,Maruti,Mumbai,2022,11537,Petrol,Manual,1,0,1462,103,5.0,1122000
Maruti Baleno,Maruti,Mumbai,2016,46564,Petrol,Manual,1,0,1197,84,5.0,489000
Hyundai New Elantra,Hyundai,Mumbai,2019,43333,Petrol,Automatic,2,0,1999,152,5.0,1085000
Hyundai i10,Hyundai,Mumbai,2014,21258,Petrol,Manual,1,0,1086,69,5.0,323000
Maruti New Wagon-R,Maruti,Mumbai,2021,23233,CNG,Manual,1,0,998,58,5.0,581000
Hyundai i10,Hyundai,Mumbai,2011,30375,Petrol,Manual,3,0,1197,80,5.0,209000
Tata NEXON,Tata,Mumbai,2018,104792,Diesel,Automatic,1,0,1497,110,5.0,668000
Tata TIGOR,Tata,Mumbai,2022,18438,CNG,Manual,2,0,1199,73,5.0,733000
Hyundai Elite i20,Hyundai,Mumbai,2016,16301,Petrol,Manual,1,0,1197,83,5.0,525600
Honda City,Honda,Mumbai,2015,100831,Petrol,Manual,1,0,1497,119,5.0,456000
Maruti Baleno,Maruti,Mumbai,2019,24684,Petrol,Automatic,1,0,1197,83,5.0,707500
Hyundai Elite i20,Hyundai,Mumbai,2015,30141,Petrol,Manual,2,0,1197,83,5.0,426700
Tata Safari,Tata,Mumbai,2021,16603,Diesel,Manual,1,0,1956,170,7.0,1878400
Maruti Wagon R 1.0,Maruti,Mumbai,2015,95214,Petrol,Automatic,1,0,998,68,5.0,304000
Nissan MAGNITE,Nissan,Mumbai,2021,47127,Petrol,Manual,1,0,999,72,5.0,678000
Hyundai Creta,Hyundai,Mumbai,2017,79836,Diesel,Automatic,1,0,1582,128,5.0,972000
Maruti Swift Dzire,Maruti,Mumbai,2012,60719,Petrol,Manual,1,0,1197,87,5.0,341000
