Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Hyundai Eon,Hyundai,Pune,2015,54430,Petrol,Manual,1,0,814,56,5.0,273000
Datsun Go Plus,Datsun,Pune,2018,35561,Petrol,Manual,1,0,1198,68,7.0,352000
Maruti Ciaz,Maruti,Pune,2015,80161,Petrol,Automatic,2,0,1373,92,5.0,522000
Maruti Alto K10,Maruti,Pune,2015,30634,Petrol,Automatic,1,0,998,68,5.0,336000
Honda City,Honda,Pune,2021,44260,Petrol,Manual,1,0,1498,121,5.0,1084000
Tata Tiago,Tata,Pune,2022,15735,CNG,Manual,1,0,1199,73,5.0,619000
Hyundai i10,Hyundai,Pune,2016,49598,Petrol,Manual,1,0,1086,69,5.0,320200
Renault Kwid,Renault,Pune,2018,44760,Petrol,Automatic,1,0,999,68,5.0,392200
Volkswagen Polo,Volkswagen,Pune,2017,61676,Petrol,Manual,1,0,1198,75,5.0,529000
Hyundai NEW I20 N LINE,Hyundai,Pune,2021,22854,Petrol,Automatic,1,0,998,120,5.0,1001000
Maruti Celerio,Maruti,Pune,2018,90082,CNG,Manual,2,0,998,59,5.0,445000
Maruti Celerio,Maruti,Pune,2014,37678,Petrol,Manual,1,0,998,68,5.0,343000
Honda Jazz,Honda,Pune,2012,109591,Petrol,Manual,1,0,1198,90,5.0,277800
Renault Kwid,Renault,Pune,2022,17625,Petrol,Manual,1,0,999,68,5.0,465000
Mahindra XUV700,Mahindra,Pune,2022,16335,Petrol,Automatic,1,0,1997,200,5.0,1798000
Maruti Ciaz,Maruti,Pune,2016,39516,Petrol,Manual,1,0,1373,92,5.0,607000
Maruti Wagon R 1.0,Maruti,Pune,2013,57444,Petrol,Manual,1,0,998,68,5.0,295000
Maruti Celerio,Maruti,Pune,2019,36411,Petrol,Automatic,2,0,998,68,5.0,475500
Renault Kwid,Renault,Pune,2021,6725,Petrol,Automatic,1,0,999,68,5.0,514000
Datsun Redi Go,Datsun,Pune,2018,19604,Petrol,Automatic,1,0,999,68,5.0,349000
Tata Safari,Tata,Pune,2022,10761,Diesel,Automatic,1,0,1956,170,7.0,2401000
Maruti Alto K10,Maruti,Pune,2017,70605,Petrol,Automatic,1,0,998,68,5.0,342000
