Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Ford Ecosport,Ford,Chennai,2019,31646,Petrol,Automatic,2,0,1497,123,5.0,844000
Hyundai Elite i20,Hyundai,Chennai,2016,90064,Petrol,Manual,3,0,1197,83,5.0,484700
Hyundai Grand i10,Hyundai,Chennai,2019,36459,Petrol,Manual,2,0,1197,83,5.0,519000
Maruti Ciaz,Maruti,Chennai,2018,78170,Petrol,Manual,2,0,1462,105,5.0,714200
Tata PUNCH,Tata,Chennai,2022,18456,Petrol,Automatic,1,0,1199,86,5.0,875500
MG HECTOR,MG,Chennai,2020,36110,Petrol,Automatic,2,0,1451,143,5.0,1509000
Hyundai i10,Hyundai,Chennai,2014,91981,Petrol,Manual,2,0,1086,69,5.0,322000
Hyundai Creta,Hyundai,Chennai,2018,69555,Petrol,Automatic,1,0,1591,123,5.0,965000
Renault TRIBER,Renault,Chennai,2020,27380,Petrol,Automatic,1,0,999,72,7.0,621000
Honda WR-V,Honda,Chennai,2017,100049,Diesel,Manual,1,0,1498,100,5.0,679700
Hyundai NEW SANTRO,Hyundai,Chennai,2019,40178,Petrol,Automatic,1,0,1086,69,5.0,520300
Ford Ecosport,Ford,Chennai,2018,60350,Petrol,Automatic,2,0,1497,123,5.0,761000
Nissan Micra,Nissan,Chennai,2017,89538,Petrol,Automatic,2,0,1198,77,5.0,422000
Nissan MAGNITE,Nissan,Chennai,2021,36206,Petrol,Automatic,1,0,999,100,5.0,837000
Honda WR-V,Honda,Chennai,2017,85291,Diesel,Manual,2,0,1498,100,5.0,691000
Hyundai Xcent,Hyundai,Chennai,2016,122520,Petrol,Automatic,2,0,1197,83,5.0,438000
Honda Jazz,Honda,Chennai,2020,34815,Petrol,Manual,2,0,1199,90,5.0,757000
Maruti IGNIS,Maruti,Chennai,2017,113744,Petrol,Automatic,1,0,1197,83,5.0,444000
Tata PUNCH,Tata,Chennai,2023,28760,Petrol,Automatic,1,0,1199,88,5.0,830000
Hyundai Elite i20,Hyundai,Chennai,2017,36560,Petrol,Manual,2,0,1197,83,5.0,606000
